owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,years_in_business,RATE_ID_FOR_years_in_business,fsr,location,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
703.0,0,150000.0,100.0,26.57,0,73.0,3,0.0,0,0.0,0,0,12.75,0,107027.25,0,36505.2275,0,0.34,0,0.0,0,0.0,0,0.0,0,1.0,0,107027.25,2,703.0,0,150000.0,100.0,1362.0,1
692.0,0,150000.0,100.0,42.1,0,19.0,1,0.0,0,0.0,0,0,0.0,2,0.0,1,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,692.0,0,150000.0,100.0,6485.0,0
677.0,0,150000.0,50.0,0.99,2,6.0,3,0.0,0,0.0,0,0,3.75,2,407304.5,0,134600.375,0,0.33,0,0.0,0,0.0,0,0.0,0,1.0,0,407304.5,2,665.0,0,150000.0,100.0,6518.0,0
601.0,1,100000.0,100.0,3.94,0,26.0,3,0.0,0,0.0,0,1,18.25,1,78771.7,0,11854.6875,0,0.15,0,0.0,0,0.0,0,0.0,0,1.0,0,78771.7,2,601.0,1,100000.0,100.0,7777.0,0
588.0,1,100000.0,100.0,5.64,0,29.0,3,0.0,0,0.0,0,0,24.666666666667,0,15947.666666667,0,3111.6666666667,0,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,15947.666666667,2,588.0,1,100000.0,100.0,5972.0,2
655.0,0,150000.0,100.0,3.65,0,69.0,3,0.0,0,0.0,0,2,146.0,0,198839.32666667,0,8777.2666666667,0,0.04,0,0.0,0,0.0,0,0.0,0,1.0,0,198839.32666667,2,655.0,0,150000.0,100.0,4666.0,1
500.0,2,35000.0,100.0,6.98,0,6.0,3,0.0,0,0.0,0,0,23.75,0,103631.675,0,5852.5125,0,0.06,0,0.0,0,0.0,0,0.0,0,2.0,1,103631.675,2,500.0,2,35000.0,100.0,4468.0,0
655.0,0,150000.0,100.0,3.65,0,69.0,3,0.0,0,0.0,0,2,146.0,0,198839.32666667,0,8777.2666666667,0,0.04,0,0.0,0,0.0,0,0.0,0,2.0,1,198839.32666667,2,655.0,0,150000.0,100.0,4666.0,1
616.0,0,150000.0,80.0,20.53,0,69.0,3,0.0,0,0.0,0,0,67.2,0,49269.8,0,2950.6,0,0.06,0,0.0,0,0.0,0,0.0,0,1.0,0,49269.8,2,615.0,0,150000.0,100.0,1971.0,2
590.0,1,100000.0,100.0,0.03,3,6.0,1,0.0,0,0.0,0,0,17.666666666667,0,83851.5,0,13550.076666667,0,0.16,0,0.0,0,0.0,0,0.0,0,0.0,0,83851.5,2,590.0,1,100000.0,100.0,4410.0,1
