,id,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,owner_2_score,RATE_owner_2,CAP_AMOUNT_owner_2,PERCENT_OWN_owner_2,owner_3_score,RATE_owner_3,CAP_AMOUNT_owner_3,PERCENT_OWN_owner_3,years_in_business,RATE_ID_FOR_years_in_business,fsr,RATE_ID_FOR_fsr,location,RATE_ID_FOR_location,funded_last_30,RATE_ID_FOR_funded_last_30,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,INPUT_VALUE_ID_FOR_judgement_lien_time,RATE_ID_FOR_judgement_lien_time,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,RATE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,RATE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
900,4813,606.0,A,150000.0,100.0,,,,,,,,,2.07,A,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,606.0,A,150000.0,100.0,4642.0,Paid off with renewal
329,1406,703.0,A,150000.0,100.0,,,,,,,,,26.57,A,73.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,12.75,A,107027.25,A,36505.2275,A,0.34,A,0.0,A,0.0,A,0.0,A,1.0,A,107027.25,,preferred,,703.0,A,150000.0,100.0,1362.0,Paid in full
1035,7415,692.0,A,150000.0,100.0,,,,,,,,,42.1,A,19.0,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,C,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,692.0,A,150000.0,100.0,6485.0,Default
1670,6759,684.0,A,150000.0,100.0,,,,,,,,,5.53,A,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,684.0,A,150000.0,100.0,6035.0,Paid via discounted payoff
1726,5867,625.0,A,150000.0,100.0,,,,,,,,,1.65,B,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,625.0,A,150000.0,100.0,5299.0,Paid in full
1900,7491,677.0,A,150000.0,50.0,654.0,A,150000.0,50.0,,,,,0.99,C,6.0,,Verified,A,N,,0.0,A,0.0,A,,,1.0,A,3.75,C,407304.5,A,134600.375,A,0.33,A,0.0,A,0.0,A,0.0,A,1.0,A,407304.5,,preferred,,665.0,A,150000.0,100.0,6518.0,Default
1885,9464,601.0,B,100000.0,100.0,,,,,,,,,3.94,A,26.0,,Verified,A,N,,0.0,A,0.0,A,,,1.5,B,18.25,B,78771.7,A,11854.6875,A,0.15,A,0.0,A,0.0,A,0.0,A,1.0,A,78771.7,,preferred,,601.0,B,100000.0,100.0,7777.0,Default
108,562,525.0,C,35000.0,100.0,,,,,,,,,1.66,B,,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,20348.333333333,A,1858.6666666667,A,0.09,A,0.0,A,0.0,A,0.0,A,1.0,A,20348.333333333,,preferred,,525.0,C,35000.0,100.0,486.0,Paid off with renewal
951,6715,588.0,B,100000.0,100.0,,,,,,,,,5.64,A,29.0,,Verified,A,N,,0.0,A,0.0,A,,,0.0,A,24.666666666667,A,15947.666666667,A,3111.6666666667,A,0.2,A,0.0,A,0.0,A,0.0,A,0.0,A,15947.666666667,,preferred,,588.0,B,100000.0,100.0,5972.0,Paid off with renewal
1335,3257,0.0,,,100.0,,,,,,,,,0.93,C,,,Home,A,N,,0.0,A,0.0,A,,,0.0,A,0.0,R,0.0,D,0.0,D,0.0,D,0.0,A,0.0,A,0.0,A,0.0,A,0.0,,preferred,,0.0,,,0.0,3435.0,Paid off with renewal
